id,title,author,dynasty,genre,poem_type,content,lines,line_char_counts,meter_pattern,total_lines,total_chars,is_regular,meter_category
5b9a1a27367d5c0f40d239ca,送程给事过越不及口占以寄,赵抃,宋代,诗,杂言,"立马江头一黯销，晓光浮动十分潮。西陵送目仙舟去，铙鼓旌麾迤逦遥。

",['立马江头一黯销晓光浮动十分潮西陵送目仙舟去铙鼓旌麾迤逦遥'],[28],28,1,28,False,
5b9a17fc367d5c0f40d22b42,草书屏风,韩偓,唐代,诗,杂言,"何处一屏风，分明怀素踪。虽多尘色染，犹见墨痕浓。 
怪石奔秋涧，寒藤挂古松。若教临水畔，字字恐成龙。","['何处一屏风分明怀素踪虽多尘色染犹见墨痕浓', '怪石奔秋涧寒藤挂古松若教临水畔字字恐成龙']","[20, 20]","20,20",2,40,False,
5b9a1bb4367d5c0f40d24438,呈潘潭州十首,赵蕃,宋代,诗,杂言,"梅花初出炯如冰，未许余花似我能。
太息天公不加意，放教风雨苦侵陵。","['梅花初出炯如冰未许余花似我能', '太息天公不加意放教风雨苦侵陵']","[14, 14]","14,14",2,28,False,
5b9a17ea367d5c0f40d22acc,忆秦娥·情脉脉,程垓,宋代,诗,杂言,"情脉脉。半黄橙子和香擘。和香擘。分明记得，袖香熏窄。 
别来人远关山隔。见梅不忍和花摘。和花摘。有书无雁，寄谁归得。","['情脉脉半黄橙子和香擘和香擘分明记得袖香熏窄', '别来人远关山隔见梅不忍和花摘和花摘有书无雁寄谁归得']","[21, 25]","21,25",2,46,False,
5b9a1804367d5c0f40d22b74,四时,陶渊明,魏晋,诗,杂言,"春水满四泽，夏云多奇峰。
秋月扬明晖，冬岭秀寒松。","['春水满四泽夏云多奇峰', '秋月扬明晖冬岭秀寒松']","[10, 10]","10,10",2,20,False,
5b9a18e4367d5c0f40d23155,遣兴,周文璞,宋代,诗,杂言,"山中雨更愁，不是弃吾州。
怀母未能去，诉邻谁肯留。
茶人穷似虱，药户狭于舟。
一磵多深碧，嘲吟尚自由。","['山中雨更愁不是弃吾州', '怀母未能去诉邻谁肯留', '茶人穷似虱药户狭于舟', '一磵多深碧嘲吟尚自由']","[10, 10, 10, 10]","10,10,10,10",4,40,False,
5b9a1b28367d5c0f40d2408e,竹,陈元晋,宋代,诗,杂言,"吾敬王子猷，傲俗独爱竹。行止必与俱，情义均骨肉。

云龙求友心，上下亦相逐。彼哉绝彝伦，乃戒桑下宿。

","['吾敬王子猷傲俗独爱竹行止必与俱情义均骨肉', '云龙求友心上下亦相逐彼哉绝彝伦乃戒桑下宿']","[20, 20]","20,20",2,40,False,
5b9a19f5367d5c0f40d23881,过汉州留房公湖一日戏和少陵韵二首,李壁,宋代,诗,杂言,"西湖天下胜，贤相古来稀。
汛扫邀明月，徜徉逗落晖。
蒲深鸂鶒响，林静鹧鸪飞。
脚力应难遍，雕栏幸可依。","['西湖天下胜贤相古来稀', '汛扫邀明月徜徉逗落晖', '蒲深鸂鶒响林静鹧鸪飞', '脚力应难遍雕栏幸可依']","[10, 10, 10, 10]","10,10,10,10",4,40,False,
5b9a1b60367d5c0f40d24209,渚宫莫问诗一十五首 其十,齐己,唐代,诗,杂言,"莫问无机性，甘名百钝人。一床铺冷落，长日卧精神。

分已疏知旧，诗还得意新。多才碧云客，时或此相亲。

","['莫问无机性甘名百钝人一床铺冷落长日卧精神', '分已疏知旧诗还得意新多才碧云客时或此相亲']","[20, 20]","20,20",2,40,False,
5b9a1b6c367d5c0f40d24258,挽张方伯父,韩雍,明代,诗,杂言,"幕宾谪后随膺荐，循吏功成即引年。元亮归来三径在，韦贤老去一经传。

重封极品龙章焕，载写遗容鹤绣鲜。早晚郎君还大拜，宠光定许贲幽泉。

","['幕宾谪后随膺荐循吏功成即引年元亮归来三径在韦贤老去一经传', '重封极品龙章焕载写遗容鹤绣鲜早晚郎君还大拜宠光定许贲幽泉']","[28, 28]","28,28",2,56,False,
