author,paragraphs,title,id,dynasty,genre,tags,notes,rhythmic,prologue,content
劉應時,"愁裏青春去，年來白髮加。
細書欺老眼，爛飯愜衰牙。
寧夢穴中蟻，不疑杯裏蛇。
南窗時隠几，一縷篆煙斜。",春暮,6319b5f5-30ef-46de-8599-e789a5c5b04d,宋代,诗,,,,,"愁里青春去,年来白发加. 细书欺老眼,烂饭惬衰牙. 宁梦穴中蚁,不疑杯里蛇. 南窗时隠几,一缕篆烟斜."
彭汝礪,"交情淡薄愛天真，親寄韶容到窶貧。
便乞諸公城壁飲，風前同醉一枝春。",谢德华惠牡丹因招同官会饮,a0c26dce-f25f-42e6-8eaf-301745bd7338,宋代,诗,,,,,"交情淡薄爱天真,亲寄韶容到窭贫. 便乞诸公城壁饮,风前同醉一枝春."
朱熹,"幾月高堂闕問安，歸塗不管上天難。
誦君兩疊思親句，也信從來取友端。",次韵择之铅山道中二首 其一,e52b248b-6650-4be2-9b5f-b803866f8922,宋代,诗,,,,,"几月高堂阙问安,归涂不管上天难. 诵君两叠思亲句,也信从来取友端."
韓淲,"雲林起清霜，山寒紅日吹。
城郭催租日，田家穫稻時。
仲尼雖少賤，李廣漫多奇。
好事能相覓，茅簷曝晴曦。",十月旦日过云林,833c6149-94b0-479a-873a-0e78e758e1ea,宋代,诗,,,,,"云林起清霜,山寒红日吹. 城郭催租日,田家获稻时. 仲尼虽少贱,李广漫多奇. 好事能相觅,茅簷曝晴曦."
仇遠,"新梢霧如沐，斷節霜不枯。
西窗夕陽下，此君何可無。",题赵希贤所藏墨竹 其二,95d4a645-7073-4a43-af73-89fa2b4040d9,宋代,诗,,,,,"新梢雾如沐,断节霜不枯. 西窗夕阳下,此君何可无."
陸游,"治道巍巍本易成，狂言安得略施行。
太平事業人皆見，不計封倫死與生。",醉中信笔作四绝句既成惧观者不知野人本心也复作一绝 其五,87025692-dc0a-46f7-a337-d28ad54c199d,宋代,诗,,,,,"治道巍巍本易成,狂言安得略施行. 太平事业人皆见,不计封伦死与生."
蘇轍,"我遷海康，實編于民。
少而躬耕，老復其真。
乘流得坎，不問所因。
願以所知，施及斯人。",和子瞻次韵陶渊明劝农诗 其一,4e29a22f-f1d9-4497-b80a-c9197a4393ad,宋代,诗,,,,,"我迁海康,实编于民. 少而躬耕,老复其真. 乘流得坎,不问所因. 愿以所知,施及斯人."
陸游,"善泅不如穩乘舟，善騎不如謹持轡。
妙於服食不如寡欲，工於揣摩不如省事。
在天有命誰得逃，在我無求直差易。
散人家風脫糾纏，烟蓑雨笠全其天。
蒓絲老盡歸不得，但坐長饑須俸錢。
此身不堪阿堵役，寜待秋風始投檄。
山林聊復取熊掌，仕宦真當棄雞肋。
錦城小憩不淹遲，即是輕舠下硤時。
那用更爲麟閣夢，從今正有鹿門期。",思归引,f5864887-00d2-42fd-aa3c-2e1615ec37f9,宋代,诗,,,,,"善泅不如稳乘舟,善骑不如谨持辔. 妙于服食不如寡欲,工于揣摩不如省事. 在天有命谁得逃,在我无求直差易. 散人家风脱纠缠,烟蓑雨笠全其天. 莼丝老尽归不得,但坐长饥须俸钱. 此身不堪阿堵役,寜待秋风始投檄. 山林聊复取熊掌,仕宦真当弃鸡肋. 锦城小憩不淹迟,即是轻舠下硖时. 那用更为麟阁梦,从今正有鹿门期."
釋正覺,"靈雲悟桃華，玄沙旁不肯。
昭昭然此心分明，隱隱也放身未穩。
放得穩，八兩元來是半斤，鈎頭秤尾能平等。",偈颂二百零五首 其二○三,0683b57b-b38a-4d8e-823a-eec5e7172d9f,宋代,诗,,,,,"灵云悟桃华,玄沙旁不肯. 昭昭然此心分明,隐隐也放身未稳. 放得稳,八两元来是半斤,钩头秤尾能平等."
楊傑,"珠圎而明，玉澤而温。
鑑瑩澈而絕塵，芝秀發而非根。
曼殊沙華，栴檀香芬。
晦堂路險，大開施門。
西江水深，一口平吞。
誰知威音已前，正是王老師孫。",都尉王居士赞,d16fe8fb-c9bb-431c-bfc6-f3a14e4c7b7b,宋代,诗,['长江'],,,,"珠圎而明,玉泽而温. 鉴莹澈而绝尘,芝秀发而非根. 曼殊沙华,栴檀香芬. 晦堂路险,大开施门. 西江水深,一口平吞. 谁知威音已前,正是王老师孙."
趙師秀,一瓶茶外無祗待，同上西樓看晚山。,句 其七,89312b97-43b9-4dfb-86b4-032d4132a0bb,宋代,诗,,,,,"一瓶茶外无祗待,同上西楼看晚山."
樓鑰,"玉映清心著壼彜，閨房賓敬到齊眉。
豈惟山水協高趣，更爲國家生好兒。
萬口共推諸福備，八旬猶負一年期。
伯仁冬日應腸斷，不見堂前舉酒時。",太硕人潘氏挽词,b230bbb7-7bc5-41fb-bc5a-7a6b9a337546,宋代,诗,,,,,"玉映清心著壸彜,闺房宾敬到齐眉. 岂惟山水协高趣,更为国家生好儿. 万口共推诸福备,八旬犹负一年期. 伯仁冬日应肠断,不见堂前举酒时."
