id,author,title,dynasty,genre,lines,line_char_counts,meter_pattern,total_lines,total_chars,is_regular,regular_meter,poem_type
,李邴,小冲山・小重山,宋代,词,谁劝东|风腊里来|不知天待|雪恼江梅|东郊寒|色尚徘徊|双彩燕飞|傍鬓云堆|玉冷|晓妆台|宜春金缕|字拂香腮|红罗先|绣踏青鞋|春犹浅花|信更须催,"3,4,4,4,3,4,4,4,2,3,4,4,3,4,4,4","3,4,4,4,3,4,4,4,2,3,4,4,3,4,4,4",16,58,False,,词
,李邴,木兰花・玉楼春,宋代,词,沈吟不|语晴窗畔|小字银|钩题欲遍|云情散乱未成篇|花骨敧斜终带软|重重说|尽情和怨|珍重提|携常在眼|暂时得近玉纤纤|翻羡缕金红象管,"3,4,3,4,7,7,3,4,3,4,7,7","3,4,3,4,7,7,3,4,3,4,7,7",12,56,False,,词
,李邴,清平乐,宋代,词,露花|烟柳|春思|浓如酒|几阵狂|风新雨后|满地落|红铺绣|风流何|处疏狂|厌厌恨|结柔肠|又是危阑独倚|一川烟草斜阳,"2,2,2,3,3,4,3,3,3,3,3,3,6,6","2,2,2,3,3,4,3,3,3,3,3,3,6,6",14,46,False,,词
,李邴,满庭芳,宋代,词,又喜椒觞到手|宝胜里仍剪金花,"6,7","6,7",2,13,False,,词
,李邴,玉楼春,宋代,词,一年适尽莲花漏|翠井屠苏沈冻酒,"7,7","7,7",2,14,True,7言2句,词
,李邴,满庭芳,宋代,词,凉风吹帽|横槊试登高|想见征西旧事|龙山会宾主俱豪,"4,5,6,7","4,5,6,7",4,22,False,,词
,李邴,女冠子,宋代,词,帝城|三五|灯光花|市盈路|天街|游处|此时方信凤阙|都民奢华豪富|纱笼|才过处|喝道转身一|壁小来且住|见许多才子艳|质携手并肩低语|东来西|往谁家女|买玉梅争戴|缓步香风度|北观|南顾|见画烛影|里神仙无数|引人魂似醉不|如趁早步月归去|这一双情眼怎|生禁得许多胡觑,"2,2,3,3,2,2,6,6,2,3,5,5,6,7,3,4,5,5,2,2,4,5,6,7,6,7","2,2,3,3,2,2,6,6,2,3,5,5,6,7,3,4,5,5,2,2,4,5,6,7,6,7",26,110,False,,词
,李邴,调笑令,宋代,词,双|绿|淡|匀拂|两脸春|融光透玉|起来却|怕东风触|本是一|团香玉|飞鸾台|上看未足|贮向阿|娇金屋,"1,1,1,2,3,4,3,4,3,3,3,4,3,3","1,1,1,2,3,4,3,4,3,3,3,4,3,3",14,38,False,,词
,向子諲,满庭芳,宋代,词,月窟蟠根云岩分|种绝知不是尘凡|琉璃剪叶|金粟缀花繁|黄菊周旋避舍|友兰蕙羞杀山樊|清香远秋风十|里鼻观已先参|酒|阑|听我语平生|半是江北江南|经行处无|穷绿水青山|常被此花相恼|思共老结屋中间|不因尔芗林底|事游戏到人寰,"7,7,4,5,6,7,6,6,1,1,5,6,4,5,6,7,6,6","7,7,4,5,6,7,6,6,1,1,5,6,4,5,6,7,6,6",18,95,False,,词
,向子諲,满庭芳,宋代,词,瑟瑟金风团团玉|露岩花秀发秋光|水边一笑|十里得清香|疑是蕊宫仙子|新妆就娇额涂黄|霜天晚妖红丽|紫回首总堪伤|中|央|孕正色更留|明月偏照何妨|便高如兰|菊也让芬芳|输与芗林居士|微吟罢闲据胡床|须知道天教尤|物相伴老江乡,"7,7,4,5,6,7,6,6,1,1,5,6,4,5,6,7,6,6","7,7,4,5,6,7,6,6,1,1,5,6,4,5,6,7,6,6",18,95,False,,词
,向子諲,蓦山溪,宋代,词,瑶田|银海|浩色|难为对|琪树照人间晓|然是华岩境界|万年松径一带旧峰峦深|掩覆密遮藏三昧兴无碍|金毛狮子|打就休惊怪|片片上红炉且|不可将情作解|有无不道泯绝去来今明|即暗暗还明只个长不昧,"2,2,2,3,6,6,10,10,4,5,6,6,10,10","2,2,2,3,6,6,10,10,4,5,6,6,10,10",14,82,False,,词
,向子諲,蓦山溪,宋代,词,挂冠|神武|来作|烟波主|千里好江山都|尽是君恩赐与|风勾月引催上泛宅时酒|倾玉鲙堆雪总道神仙侣|蓑衣箬笠|更着些儿雨|横笛两三声晚|云中惊鸥来去|欲烦妙手写入散人图蜗|角名蝇头利着甚来由顾,"2,2,2,3,6,6,10,10,4,5,6,6,10,10","2,2,2,3,6,6,10,10,4,5,6,6,10,10",14,82,False,,词
,无名氏,导引,宋代,词,长乐晚|彩戏莱衣|奄忽梦|报仙期|帝乡渺渺乘鸾去|啼红嫔御不胜悲|苍梧烟|水杳难追|肠断处|过江时|银涛千万叠不|知何处是瑶池,"3,4,3,3,7,7,3,4,3,3,6,6","3,4,3,3,7,7,3,4,3,3,6,6",12,52,False,,词
,无名氏,六州,宋代,词,中兴运孝|治格升平|回騩驭弭凤驾|册宝初上鸿名|龙楼问|寝候鸡鸣|更翻莱|戏彩衣轻|坤躔夜|照老人星|金觞上寿|长愿燕慈宁|乘云何处去|愁断紫箫声|追思金殿|椒壁丹楹|又谁知|勤俭仁明|风行化|被宫庭|佑圣主|底明时|阴功暗|及生灵|离宫晚|花卉娉婷|甲观高|潮海峥嵘|往事回|头忽飘零|空留嫔御|掩泣望霓旌|会稽山翠永祐陵|高而今便是蓬瀛,"4,4,6,6,3,4,3,4,3,4,4,5,5,5,4,4,3,4,3,3,3,3,3,3,3,4,3,4,3,4,4,5,7,7","4,4,6,6,3,4,3,4,3,4,4,5,5,5,4,4,3,4,3,3,3,3,3,3,3,4,3,4,3,4,4,5,7,7",34,137,False,,词
