id,title,author,dynasty,genre,poem_type,sentences_simplified,meter_pattern,hash,words
f96cf0a4-4813-4ff4-a020-f67ccd66f889,寒食,楼钥,唐,诗,七言律诗,辅政无功日歉然 佳时攽赉屡传宣 已蒙授粲仍分茗 既荷贻牟更击鲜 酒号流香盛宝榼 烛然新火散青烟 孙儿不识君恩重 但觅东宫则剧钱,"7,7,7,7,7,7,7,7",589fe84e1945053ddfdeb5d44e5a6ba2,辅政 无功 日 歉然 佳 时 攽 赉 屡 传 宣 已 蒙授 粲仍 分 茗 既 荷 贻 牟 更击 鲜 酒号 流香 盛 宝 榼 烛然新火 散 青烟 孙儿 不识君恩重 但 觅 东宫 则 剧钱
03575f8c-d47f-416b-b54d-b065052bc988,夫人携家泛湖,楼钥,唐,诗,七言律诗,三分春色二分休 始见鱼轩泛彩舟 诸子侍行欢尽日 一翁独坐淡于秋 满斟美酒应同醉 是处名园为少留 阴霭在前雷雨后 特晴此日称君游,"7,7,7,7,7,7,7,7",9e0c652b6095e1fd02ca9eb4ffdc4fda,三分 春色 二分 休 始见 鱼轩 泛彩舟 诸子 侍行 欢尽 日 一 翁 独坐 淡 于秋 满 斟 美酒 应同醉 是 处 名园 为 少留 阴霭 在 前 雷雨 后 特晴 此日 称 君游
aa220ba0-e662-4af9-8ce1-d639111b31d7,即事,楼钥,唐,诗,七言绝句,壮志摧颓貌亦衰 岂知官舍傍岩隈 此身不是京尘里 饭了沿山看腊梅,"7,7,7,7",308d0100a85fa9681ae6737dd98071a4,壮志 摧 颓 貌 亦 衰 岂知 官舍 傍 岩 隈 此身 不是 京 尘 里 饭 了 沿 山 看 腊梅
f578c967-0c62-4338-950f-578f7a113a1d,刘寺即事  其一,楼钥,唐,诗,七言绝句,不到兹山二十年 岂知重见旧山川 烟深虽不见湖水 且看长空万里天,"7,7,7,7",8fdb926e4a1ad9dff1292c46b10ed272,不到 兹山 二十年 岂知 重见 旧 山川 烟深 虽 不见 湖水 且 看 长空 万里 天
1690e88f-4256-4c80-b772-efb5b3996313,刘寺即事  其二,楼钥,唐,诗,七言绝句,飞泉何事仰空流 无数明珠散不收 注辇昔时曾撒殿 至今抛掷未曾休,"7,7,7,7",3827b7fe965ddb75770c536e65d2d489,飞泉 何事 仰空流 无数 明珠 散不收 注 辇 昔时 曾撒殿 至今 抛掷 未曾 休
6189ecbd-5b28-4d6d-8fbc-862f644e373d,淳发漕荐喜而成诗并勉杓,楼钥,唐,诗,七言律诗,戊辰贡举忝余知 曾碍孙儿到省闱 欣汝今秋重预荐 喜吾即日可言归 门阑有庆人争贺 父子同登世所希 痴望十人俱上第 坐令昼锦倍光辉,"7,7,7,7,7,7,7,7",09dabf152ca8f1fac0017feab7ae6752,戊辰 贡举 忝 余 知 曾 碍 孙儿 到 省 闱 欣 汝 今秋 重 预荐 喜吾 即日 可言 归 门 阑 有 庆 人 争贺 父子 同登 世所 希 痴望 十人俱上 第 坐令 昼锦 倍 光辉
72b32cfc-5e53-4cad-8008-88a287c995bf,十月旦尚煖用夹公服二月初吉雪寒甚服单,楼钥,唐,诗,五言律诗,尚暖先添夹 方寒却用单 不惟春料峭 况值雪飞翻 但欲朝仪肃 难求己分安 衣囊如欲懒 归去老江干,"5,5,5,5,5,5,5,5",4d58c97c1a6ac651fc16503868bbe689,尚暖先 添 夹 方寒 却 用 单 不惟 春 料峭 况 值 雪 飞翻 但 欲 朝仪 肃 难求己分安 衣囊 如欲懒 归去 老 江干
a38ac3d5-131a-40bd-96d7-72bd6ffff78f,从子淮过省寄伯中弟,楼钥,唐,诗,七言律诗,我家伯父德余辉 吾弟风标具体微 七叶欣闻五争奋 四人先喜一雄飞 忍贫老尚甘箪食 教子今方擢省闱 他日双椿临六桂 麻衣俱换绿衣归,"7,7,7,7,7,7,7,7",b09b74d8204f862233892d400f683fa0,我家 伯父 德 余辉 吾 弟 风标 具体 微 七叶 欣闻 五争 奋 四 人 先 喜 一 雄飞 忍贫 老尚 甘 箪食 教子 今 方 擢 省 闱 他 日 双椿临 六桂 麻衣 俱 换 绿衣 归
c7205773-1956-4c54-a1c0-d833520d5955,赠僧文可往黄州建东坡寺,楼钥,唐,诗,七言律诗,一坡久矣郡城东 居士来游地望崇 问舍求田烦作计 拈槌竖拂看谈空 共分庞老沈江宝 要奉儋州秃鬓翁 去作开山第一代 灯灯相续到无穷,"7,7,7,7,7,7,7,7",8a9e966d105826a306c9d3b49c6da8b7,一 坡 久 矣 郡 城东 居士 来 游 地 望 崇 问舍求田 烦 作计 拈 槌 竖 拂 看谈 空 共分 庞老 沈江宝 要 奉 儋州 秃 鬓 翁 去 作 开山 第一代 灯灯 相续 到 无穷
a267c4cc-8f36-493c-a79f-a5cd97d5f959,三月七日上赐牡丹并蔷薇露劝酒,楼钥,唐,诗,七言律诗,几见牡丹东海涯 暮年敢谓到京华 休论千品洛中谱 惊看百枝天上花 况有八珍来禁苑 更加双榼赐流霞 阖门饱暖聊同醉 稽首将何报宅家,"7,7,7,7,7,7,7,7",a487806b1cd31fb4d593f9cd33530b79,几 见 牡丹 东海 涯 暮年 敢谓 到 京华 休论 千品 洛中谱 惊看 百枝 天上 花 况有 八珍 来禁 苑 更加 双 榼 赐 流 霞 阖门 饱暖 聊同 醉 稽首 将 何报 宅家
86371c03-b64f-457d-b49d-6b611b4b5c7e,史清翁谈诗走笔次韵,楼钥,唐,诗,五言律诗,公退门庭静 轻风辊絮毬 故人惊一见 小酌散千忧 西上不容久 东归又别愁 何当附舟尾 从此遂归休,"5,5,5,5,5,5,5,5",aaf78c2913ac822756b031747fa6b3bc,公退 门庭 静 轻风 辊絮 毬 故人 惊一见 小酌 散 千忧 西 上 不容 久 东归 又 别 愁 何 当附舟尾 从此 遂 归休
8dff7286-4a66-407a-8588-688a64c98d52,以兴安石阮底寄颜乐闲,楼钥,唐,诗,七言绝句,兴安乐石响于桐 作阮犹堪继仲容 茂苑乐闲真好事 为君添起晋玲珑,"7,7,7,7",535a2f2886ac5f7c4bb97f023ef9a1c8,兴 安乐 石响 于 桐 作 阮 犹堪继 仲容 茂苑 乐闲 真 好事 为 君 添 起 晋 玲珑
a6fcc5f7-4869-4c4c-b118-28ab9ff5a054,观冷泉亭放水,楼钥,唐,诗,七言绝句,冷泉浅浊使人愁 开板黄波去不休 岸侧细泉穿乱石 始知别是一清流,"7,7,7,7",bd95b76426c6fbb2981a5bb1fc14d645,冷泉 浅 浊 使 人 愁 开板 黄波 去 不休 岸侧 细泉 穿 乱石 始知 别 是 一 清流
6b95552b-d156-4dc8-8a2c-27ade7ec160d,赠蜀二史,楼钥,唐,诗,七言律诗,老我挂冠慙复弹 羡君登第遽休官 幸哉有子事尤美 专以为亲人更难 旧说三贤皆特操 今看二士倍荣观 同归犹及襄阳老 一舸清风廿四滩,"7,7,7,7,7,7,7,7",80a5af2738172d99c28e3ec183d8cf91,老 我 挂冠 慙 复 弹 羡 君 登第 遽 休 官 幸哉 有 子 事 尤美 专 以为 亲人 更 难 旧 说 三贤 皆 特 操 今 看 二士 倍 荣观 同归 犹及 襄阳 老 一 舸 清风 廿四 滩
2d05e5a0-34af-4ebe-b0f4-5b7d09d0cf42,题汪季路尚书所藏米元晖蒋山出云,楼钥,唐,诗,七言绝句,龙盘往昔名钟山 云起从龙意自闲 肤寸须臾成戴帽 坐看膏雨满人间,"7,7,7,7",b665187d734f40e7262029b03d09de0d,龙盘 往昔 名 钟山 云 起 从龙意自闲 肤寸 须臾 成 戴帽 坐看 膏雨 满 人间
d6bbecd5-9a9f-4ab8-88f8-ba8f09e2e260,九月十一日杓孙得男,楼钥,唐,诗,七言律诗,郡斋弧矢记垂门 今日衰翁更觉尊 生晚不能瞻大父 年高却幸见曾孙 从今镜镊知无用 但喜芝兰近愈繁 愿汝孳孳守家法 为传衣钵到仍昆,"7,7,7,7,7,7,7,7",7757f717ef4979f48c8a33acee7abf5b,郡 斋 弧 矢记 垂门 今日 衰翁 更觉 尊 生晚 不能 瞻 大 父 年 高 却 幸见 曾孙 从今 镜 镊 知 无用 但 喜 芝兰 近愈繁 愿 汝 孳孳 守 家法 为 传衣钵 到 仍 昆
c9d74d0d-201c-4d0d-8e7d-93fc5b7dd33b,送叔韶弟宰华亭,楼钥,唐,诗,七言律诗,试邑云间事最多 直将心力细礲磨 固知三泖五茸胜 其柰千疮百孔何 敏手未须施霹雳 疲民正欲听弦歌 规橅稳作三年计 徐上青云鬓未皤,"7,7,7,7,7,7,7,7",1723b17aa64f86d8cc5f9e065968d895,试 邑 云间 事 最 多 直 将 心力 细 礲 磨 固知 三 泖 五茸 胜 其 柰 千疮百孔 何 敏 手 未须 施 霹雳 疲民 正 欲 听 弦歌 规 橅 稳 作 三年 计 徐上青 云鬓 未 皤
598b12ff-4c2c-4ba8-b020-830814db2e25,又示从子澶,楼钥,唐,诗,七言律诗,壮县人歌第一奇 过庭为有宁馨儿 亲旁色养宜加谨 户外分豪勿预知 寓意杯觞须自节 读书松竹有余师 它时刮目相期待 连桂家风望一夔,"7,7,7,7,7,7,7,7",27662993f28ba5a2b7fd5dd5d9eba82e,壮 县 人 歌 第一 奇 过庭 为 有 宁馨儿 亲旁色 养宜加谨 户外 分豪 勿 预知 寓意 杯觞 须 自 节 读书 松竹 有余 师 它时 刮目 相 期待 连桂 家风 望一夔
93b3c085-d3f1-4435-b163-b794460610ee,寄叔韶弟,楼钥,唐,诗,七言律诗,阿连试邑有成规 谁谓云间不可为 能使镬汤偏衮处 直如官府太平时 容容非欲后多福 赫赫何如去见思 子路当年曾请益 更须无倦以终之,"7,7,7,7,7,7,7,7",1d799e3b4bb29f8718a4f773d169fc93,阿 连试 邑 有 成规 谁 谓 云间 不可 为 能 使 镬 汤 偏 衮 处 直 如 官府 太平 时 容容 非欲 后 多福 赫赫 何如 去 见 思 子路 当年 曾 请益 更须 无倦 以终 之
0d125aed-fcfe-4ae8-a128-bf0e146a32fd,朝退,楼钥,唐,诗,五言律诗,谢事不得去 趋朝愈更难 谁怜八旬老 日冒五更寒 指冻怯持笏 腰酸强踞鞍 细思谁缚汝 只合挂衣冠,"5,5,5,5,5,5,5,5",b765615d24b080e65290cc9130d773e2,谢事 不得 去 趋朝 愈 更 难 谁 怜 八旬 老 日 冒 五更 寒 指冻 怯 持 笏 腰酸 强 踞 鞍 细思 谁 缚 汝 只 合挂 衣冠
723893cb-ad6d-40f4-a622-b123abfc9fbf,刘德修赴遂宁示和篇改除荆南复寄之,楼钥,唐,诗,七言律诗,老矣思归铗屡弹 七旬望八合抛官 我将东去计安出 君欲西还事亦难 好向渚宫寻故迹 更从雄楚纵遐观 上游正倚公为重 莫向蓬谿更上滩,"7,7,7,7,7,7,7,7",a8ca2fad7d3239d54f683d3509bc2450,老 矣 思归 铗 屡 弹 七旬 望八合 抛官 我 将 东去 计安 出 君欲 西 还 事 亦 难 好 向渚宫 寻 故迹 更 从 雄楚 纵遐观 上游 正 倚 公 为重 莫向 蓬 谿 更 上 滩
ce6eeba2-8e7a-4176-a352-9fb7740381c4,李起宗舍人悠然亭,楼钥,唐,诗,七言律诗,远游蜀道历艰难 径上甘泉豹尾间 荷橐忽思辞北省 拂衣自喜见南山 当时旁舍基犹在 回首垂髫鬓已斑 先友碑阴尽陈迹 寒空依旧湿烟鬟,"7,7,7,7,7,7,7,7",c3c6b04373c1f096b973bdbd64d36475,远游 蜀道 历 艰难 径 上 甘泉 豹尾间 荷 橐 忽 思辞 北省 拂衣 自 喜见 南山 当时 旁 舍 基 犹 在 回首 垂髫 鬓 已 斑 先友 碑阴 尽 陈迹 寒空 依旧 湿 烟鬟
fc779aef-3386-449a-b4aa-2ab68c9efc29,伯中弟可休堂,楼钥,唐,诗,五言律诗,夫妇老相对 闺门贫甚安 六儿俱力学 一子幸先官 香火祠初奉 勋名镜屡看 更当联五桂 纳禄尚何难,"5,5,5,5,5,5,5,5",fce43302583ed72252472e08a7ce0f61,夫妇 老 相对 闺门 贫 甚 安 六儿 俱 力学 一子 幸先 官 香火 祠 初 奉 勋 名镜 屡 看 更 当 联五桂 纳禄尚 何难
57dadfc0-9896-4b50-95a9-0383d70502fe,海棠  其一,楼钥,唐,诗,七言绝句,海棠昨日始萌芽 一夜惊雷发万葩 老眼恍然何所得 凌云庵外见桃花,"7,7,7,7",6e62a6328344eba520a35ad2b0f06d5d,海棠 昨日 始 萌芽 一夜 惊雷 发 万 葩 老 眼 恍然 何 所得 凌云 庵 外 见 桃花
7724dc07-72b1-4182-8395-79374d86d922,海棠  其二,楼钥,唐,诗,七言绝句,海棠初发为题诗 倏见轻红万点吹 已惜落英铺满地 更怜几片罥蛛丝,"7,7,7,7",4bc3924e7797dd8b5c3c863f6e259198,海棠 初 发为 题诗 倏见轻 红 万点 吹 已惜 落英 铺 满地 更怜 几片 罥 蛛丝
c1c7d52a-bfbc-4298-bd88-33ec1f254589,后圃,楼钥,唐,诗,七言绝句,春雨才晴气已和 暖风吹动百花窠 绝怜玉屑如吾发 绿者全稀白者多,"7,7,7,7",a3c2286cdd67161e3e83755d35c41369,春雨 才 晴气 已 和 暖风 吹动 百花 窠 绝怜 玉屑 如 吾 发 绿者 全 稀 白者 多
f85f66cc-8cf3-4bae-8cd3-0fce21b2e95e,赠熊道人,楼钥,唐,诗,五言律诗,十载隠潭衡 居然腑肺清 枯禅参懒瓒 老气激弥明 笔底烟云妙 人间势利轻 款门俄告别 江海一浮萍,"5,5,5,5,5,5,5,5",85703f3b860fa59eeb6531cdf7948c5b,十载 隠 潭 衡 居然 腑 肺 清 枯禅 参懒 瓒 老气 激弥明 笔底 烟云 妙 人间 势利 轻 款门 俄 告别 江海 一 浮萍
