id,title,author,dynasty,genre,poem_type,sentences_simplified,meter_pattern,hash,words
afbfae82-5927-4e09-a554-2f0175a0348b,再赠汤仲辉,姜特立,唐,诗,五言绝句,肥遯元无闷 躬耕亦自娱 曲肱安陋巷 爱尔亦颜徒,"5,5,5,5",cc582ad628a26127ef2d406a59f5ee2a,肥 遯 元 无 闷 躬耕 亦 自娱 曲肱 安 陋巷 爱尔亦 颜徒
3ae0f561-e4bf-4ce4-be12-066a1904573b,咏蚕,姜特立,唐,诗,五言古体,㒩㒩屡神化 宛宛始成室 生从五泰初 事至三起毕 利物先遭烹 谋身自无术 衣被遍四方 丘山计端疋 岂知骄奢主 结绮纵游逸 剪彩满园林 光辉艳风日 理宜得败亡 此道天所疾 礼经重亲蚕 一缕知自出 大禹恶衣服 仁俭由圣质 我本生田家 蚕织尝究悉 初不耻缊袍 一煖志愿讫,"5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",13828812cb55e6e56230556165d447d7,㒩 㒩 屡 神化 宛宛 始 成室 生 从 五泰 初 事 至 三起 毕 利物 先 遭 烹 谋身 自无术 衣被 遍 四方 丘山 计端 疋 岂知 骄奢 主 结 绮纵 游逸 剪彩 满 园林 光辉 艳 风日 理宜 得 败亡 此 道 天所疾 礼经 重亲 蚕 一缕 知自 出 大禹 恶 衣服 仁俭 由 圣质 我 本生 田家 蚕织 尝究 悉 初 不耻 缊 袍 一 煖 志愿 讫
5ae26a03-2453-4272-892b-9953c92e393e,葺圃,姜特立,唐,诗,五言律诗,种树书频读 齐民术屡窥 曾求竹醉日 更问柳眠时 卢橘初非橘 蒲葵不是葵 因而辨名物 甘作老樊迟,"5,5,5,5,5,5,5,5",697a2cb847a8aa0364e434873fa530a4,种树 书 频读 齐 民术 屡 窥 曾求竹 醉 日 更 问 柳 眠 时 卢橘 初 非橘 蒲葵 不是 葵 因而 辨 名物 甘作 老樊迟
4693e5b8-b83d-400e-82b7-bfdce9ec600b,韩子师朝路为小人无礼去国再来婺女  其一,姜特立,唐,诗,七言律诗,推敲乍可恕诗客 攘臂岂容遭怒螗 三尺何时尸鼠辈 九霄一日失鹓行 君王拟听尚书履 使者行催相国装 共喜日边归去近 双溪椎皷下舟航,"7,7,7,7,7,7,7,7",72bb3988723b80663f3d69fc97918b4b,推敲 乍 可恕 诗客 攘臂 岂容 遭 怒 螗 三尺 何时 尸 鼠辈 九霄 一日 失 鹓 行 君王 拟 听 尚书 履 使者 行 催 相国 装 共 喜 日边 归去 近 双溪 椎皷 下 舟 航
d062c061-802a-488c-bb32-a1b373d9988b,韩子师朝路为小人无礼去国再来婺女  其二,姜特立,唐,诗,七言律诗,庭下棠阴七换秋 去思遗爱满东州 当年父老留大尹 今日儿童迎细侯 久别双溪劳梦想 重来八咏识风流 故人再此相逢地 晓出衡门失旧愁,"7,7,7,7,7,7,7,7",13c2207fe9a283cd4ef64dda6ffe89ca,庭下棠 阴七换秋 去 思 遗爱 满 东州 当年 父老 留大 尹 今日 儿童 迎细侯 久别 双溪 劳 梦想 重来 八 咏识 风流 故人 再此 相逢 地 晓出 衡门 失旧 愁
f13fbd70-0cb7-43dd-a63f-a42a1cf96daf,玩月,姜特立,唐,诗,五言律诗,天风忽披拂 觉我襟袂清 云片玉鳞薄 月华金晕生 曾于沧海看 浩荡此时情 髣髴见三山 汹涌波浪惊,"5,5,5,5,5,5,5,5",bd04582de3aa87f563e8f7f0b8cfc592,天风 忽 披拂 觉 我 襟 袂 清 云片 玉鳞薄 月华 金晕 生 曾 于 沧海 看 浩荡 此时 情 髣 髴 见 三山 汹涌 波浪 惊
058b9a6f-e934-4432-b6ce-d672c176f1a5,晨起,姜特立,唐,诗,五言律诗,东旭晓曈眬 照我墙角红 衰意忽开豁 衰颜亦丰茸 便欲理晨策 去遶菊花丛 惜无会心友 一尊清兴同,"5,5,5,5,5,5,5,5",1ae92d983efb25e12d72b9ef3c86f4d1,东旭 晓曈眬 照 我 墙角 红 衰意 忽 开豁 衰颜 亦丰茸 便 欲理 晨策 去 遶 菊花 丛 惜 无 会心 友 一尊 清兴 同
dc396dc2-5a7c-4ac0-90c6-2c02989804c6,古意,姜特立,唐,诗,五言绝句,共绾同心结 那知有别离 对人争忍说 不敢画蛾眉,"5,5,5,5",457be32a52de1f7d8b7e6128a98c8596,共 绾 同心结 那 知有 别离 对 人争 忍说 不敢 画 蛾眉
e280ebf8-f3d6-4657-be1e-9a005dcdda2b,霜后菊,姜特立,唐,诗,七言绝句,嫩黄酽白媚秋晖 正坐清霜一夜飞 似怯晓来天气冷 一时都换紫罗衣,"7,7,7,7",4ef81e7ab7d2da5116b2f1c5ca35ac51,嫩黄 酽 白媚秋晖 正坐 清霜 一夜 飞 似 怯 晓来 天气 冷 一时 都 换 紫罗 衣
0292fa04-dad4-4d20-8a79-46f1c0c3ec6a,送邦佐弟归乡,姜特立,唐,诗,七言律诗,昔时俱是一儿童 今日相看两秃翁 旧约对床心自喜 新诗入梦句仍工 吾衰已觉身如幻 汝老犹疑气吐虹 南北相望才数舍 何时更卜一尊同,"7,7,7,7,7,7,7,7",507e579baf769324ed83ca80465e4e29,昔时 俱 是 一 儿童 今日 相看 两 秃 翁 旧约 对 床心 自喜 新诗 入梦 句 仍 工 吾 衰 已 觉身 如 幻 汝老 犹疑 气吐虹 南北 相望 才 数舍 何时 更卜 一尊 同
9f97cf71-bf86-4d10-a49d-aca0cf4bfa5b,子陵,姜特立,唐,诗,七言绝句,足加帝腹狂奴态 自是君王礼数宽 四海但知天子贵 先生只作故人看,"7,7,7,7",958f33345a7bcde46c441277950e0b56,足加 帝腹 狂奴态 自 是 君王 礼数 宽 四海 但 知 天子 贵 先生 只 作 故人 看
179bc70e-1537-4652-8bb4-bef2035b6306,喜雪,姜特立,唐,诗,五言律诗,阴宰弄精神 空中舞玉尘 入簷灯影乱 折竹晓声频 照幌光侵曙 欺梅气压春 老夫贪快赏 呵冻拂乌巾,"5,5,5,5,5,5,5,5",922c81d13dda1a95e7c086a8685492ac,阴宰 弄 精神 空中 舞 玉尘 入 簷 灯影 乱 折竹晓 声频 照 幌光 侵 曙 欺梅 气压 春 老夫 贪快 赏 呵冻 拂 乌巾
4d97b084-ad2b-41f9-bd34-b2e1d3c9c68b,柳,姜特立,唐,诗,七言绝句,长条攀折叹离披 底事人间管别离 何似龙津通御气 建章宫里鬭腰支,"7,7,7,7",c3a91053fb31ba5299114e5ce18c4781,长条 攀折 叹离 披 底事 人间 管 别离 何 似 龙津 通御气 建章 宫里 鬭 腰 支
53ef6394-8a2d-431d-b908-a84127b4b776,怀方叔,姜特立,唐,诗,七言绝句,忆昔尊前共赋诗 如今仙去见无期 吟魂想只空山里 嘲弄风光人不知,"7,7,7,7",8a306b3376404e31df75c88cd7836167,忆昔尊 前 共 赋诗 如今 仙 去 见 无期 吟魂想 只 空 山里 嘲弄 风光 人不知
8d201548-4db7-43f8-8a4b-fcbb997e746f,有感,姜特立,唐,诗,五言绝句,滴水添壶箭 跳丸叠崦嵫 只夸颜似玉 不觉鬓成丝,"5,5,5,5",f0af02eea36d18ddaa854b6ccc2356a5,滴水 添 壶 箭 跳 丸 叠 崦 嵫 只 夸 颜似玉 不觉 鬓 成丝
