id,title,author,dynasty,genre,poem_type,sentences_simplified,meter_pattern,hash,words
7ecff8ec-adf1-4307-8b1b-1e7d5999b81d,颂古九十八首  其七九,释印肃,宋,诗,杂言,释梵天帝 宝冠履地 不诵华严 佛不富贵 离四句非 绝百非是 绝百非非 离四句易,"4,4,4,4,4,4,4,4",cf4a892e55f0d73a04cc382287a27fe9,释 梵天 帝 宝 冠履 地 不诵 华严 佛 不 富贵 离 四句 非 绝百 非是 绝百 非 非 离 四句 易
ec8971e4-0c02-4761-947c-0544b039059b,颂古九十八首  其八○,释印肃,宋,诗,七言绝句,一拨眉毛露眼睛 只伤底许没瞳人 灯笼开口呵呵笑 衲僧和梦蹈车轮,"7,7,7,7",43b875d7fafc8af2db6a62226a9a82aa,一 拨 眉毛 露 眼睛 只 伤 底 许 没 瞳人 灯笼 开口 呵呵 笑 衲僧 和 梦蹈 车轮
9ef2f566-5465-4d14-9488-ebb9aaaa321a,颂古九十八首  其八一,释印肃,宋,诗,七言绝句,古今学道与参禅 未谙眼耳妙言诠 一粒玄沙无住本 时时兴贩海南船,"7,7,7,7",41ec0fb3e677ad84d5e6422696248330,古今 学道 与 参禅 未谙 眼耳 妙言 诠 一粒 玄沙 无住 本 时 时兴 贩 海南 船
d00009d2-5c60-4823-ae0e-5d90914453fd,颂古九十八首  其八二,释印肃,宋,诗,七言绝句,龙济兴云雨徧施 圣凡不落与谁齐 能持地藏无空印 具足圆方始不疑,"7,7,7,7",f3536d2ba4cec1b1eac353f1c41c3b4a,龙济兴 云雨 徧 施 圣凡 不落 与 谁 齐 能持 地藏 无 空印 具足 圆 方始 不疑
4013aac3-397c-42c6-a1b3-0b896434862f,颂古九十八首  其八三,释印肃,宋,诗,七言绝句,镜含世界几千春 非相非形假立名 汩没未尝离镜体 怜生谁合饮光人,"7,7,7,7",b316b5d52d1e29b8b9ed5eea2110a8d2,镜 含 世界 几千 春 非相 非形 假立 名 汩 没 未尝 离 镜体 怜生 谁合 饮光 人
52e69839-92b1-40bc-876a-c213be2c0e3a,颂古九十八首  其八四,释印肃,宋,诗,五言绝句,大秤秤不起 小斗量不尽 无量劫即今 无不是心印,"5,5,5,5",6a84d98bfd108483cc9d707a2756ce4e,大 秤 秤 不 起 小 斗量 不尽 无量 劫 即 今 无不 是 心 印
6d8046f4-1b19-4bd4-b05e-e0609e694827,颂古九十八首  其八五,释印肃,宋,诗,七言绝句,船子寥寥载不空 几回明月弄清风 呈桡舞棹无他事 只欲教人解六通,"7,7,7,7",7a0241e4176ba1d3c16e44ffbdd713a4,船子 寥寥 载 不 空 几回 明月 弄 清风 呈 桡舞 棹 无 他 事 只 欲 教 人 解 六通
2c411907-8d39-4b0f-87eb-d5a28e7665dc,颂古九十八首  其八六,释印肃,宋,诗,七言绝句,何处无云不是门 藏锋不露理难论 雪峰未尽玄沙意 惹得村人村又村,"7,7,7,7",ceae3a9a5c6bf298f4ce847a9e13a394,何处 无云 不是 门 藏锋不露理难论 雪峰 未尽 玄沙意 惹 得 村 人 村 又 村
afcdadc8-ee38-440c-8c2c-6b46835e3fb9,颂古九十八首  其八七,释印肃,宋,诗,七言绝句,似水煎茶待故人 知音吃了笑忻忻 茶水本来无一说 扬眉早是自瞒心,"7,7,7,7",5f3d0194aa1b6bf3863046d1ed2e3442,似 水 煎 茶 待 故人 知音 吃 了 笑 忻 忻 茶水 本来 无一说 扬眉 早 是 自瞒心
65d5a105-50ec-4a30-912c-133a928006f7,颂古九十八首  其八八,释印肃,宋,诗,七言绝句,拈古谈今我尚无 木奴草女辨工夫 草木恰知非外物 含灵那信自毗卢,"7,7,7,7",408926ff8fa5dd603c468db529baf259,拈古谈 今 我 尚无 木奴 草女 辨 工夫 草木 恰 知非 外物 含灵 那 信 自 毗卢
c1e851d6-23b4-47ad-9e8c-a3c5993558a2,颂古九十八首  其八九,释印肃,宋,诗,七言绝句,飞空著地情依识 大地山河情识磨 色空明暗无相似 挑起蛇时会也么,"7,7,7,7",90f471eb42dc8c9a1ce8342673c84d61,飞空著 地情 依识 大地 山河 情识 磨 色空 明暗 无 相似 挑起 蛇 时会 也么
4f000099-7268-4c78-8f3b-af8a924895c0,颂古九十八首  其九○,释印肃,宋,诗,七言绝句,立亡坐脱不为奇 石霜迁化少人知 九峰师子连天吼 刹那惊杀野狐狸,"7,7,7,7",7b004625f4a6fb9a8870e39ad86420eb,立亡 坐脱 不为 奇 石霜 迁化 少人 知 九峰 师 子 连天 吼 刹那 惊杀 野 狐狸
6ce588ef-34cd-4508-bea0-4019f0f9b978,颂古九十八首  其九一,释印肃,宋,诗,七言绝句,打开兜率露王宫 摩耶夫人没老去 浄饭国王生太子 字字言言说脱空,"7,7,7,7",12e1d1d7089fabc35a223decf030ab71,打开 兜率 露 王宫 摩耶 夫人 没 老 去 浄 饭 国王 生 太子 字字 言 言说 脱空
ffe3a3b5-89a8-4f61-a5d6-0cb6860aaeff,颂古九十八首  其九二,释印肃,宋,诗,杂言,玄沙大用 雪峰三弄 大地山河 六徧震动,"4,4,4,4",c620d19c8f568c845bb46f9201565ddb,玄沙 大用 雪峰 三弄 大地 山河 六 徧 震动
11ec58bc-8bd8-4c4f-bba6-8d2c9da0c90e,颂古九十八首  其九三,释印肃,宋,诗,杂言,日里不可道人 夜里不可说鬼 无量劫来成道 一时都在这里,"6,6,6,6",9fc5b87096c223c79e00825ae9c1a8ad,日里 不可 道人 夜里 不可 说 鬼 无量 劫来 成道 一时 都 在 这里
0a09bf5d-8e0c-4dde-a739-d15b5a8e7094,颂古九十八首  其九四,释印肃,宋,诗,七言绝句,三脚驴子弄蹄行 只欲途中拶后生 一片丹霞尘不染 包藏万有岂称能,"7,7,7,7",2c2478d8fb57ac92b3398e9e652a8a76,三脚 驴子 弄 蹄行 只 欲 途中 拶 后生 一片 丹霞 尘不染 包藏 万 有 岂 称能
6029c4e2-10dc-4f2f-b59d-e6703ed44973,颂古九十八首  其九五,释印肃,宋,诗,七言绝句,鱼在岸时活不久 人落深渊当下亡 川陆谁知同一性 恰如地狱与天堂,"7,7,7,7",c2639487dbdf91fd81772fd2d0967a13,鱼 在岸 时活 不久 人落 深渊 当下 亡 川陆 谁知 同一性 恰如 地狱 与 天堂
3f250447-d2a8-4d3b-ae50-ca7af460b23f,颂古九十八首  其九六,释印肃,宋,诗,七言绝句,无相光中弄影人 形同异类性天真 披毛戴角冰和水 削发披衣水合冰,"7,7,7,7",38cca9b35e0db82ee5b9ccdb05204f5a,无相光中弄影人 形同 异类 性 天真 披毛戴角 冰 和 水 削发 披衣 水合 冰
1fe44d81-bafb-4637-a9e2-f4df63807b73,颂古九十八首  其九七,释印肃,宋,诗,七言绝句,古人遗意不留言 婆子台山著一边 识得台山婆子了 赵州消息没休年,"7,7,7,7",eddf19c5826d3e7c042d68b4231079bf,古人 遗意 不 留言 婆子 台山 著 一边 识 得 台山 婆子 了 赵州 消息 没休 年
9a34de68-b4f7-40bc-9bd6-f1532216a13c,颂古九十八首  其九八,释印肃,宋,诗,七言绝句,赵州火急要人成 大众浑无半眼窥 骑个金毛游物外 南泉滴滴意深深,"7,7,7,7",76e316b08c1ede05af6f9271758bd742,赵州 火急 要 人 成 大众 浑无 半眼 窥 骑 个 金毛 游物 外 南泉 滴滴 意 深深
