id,title,author,dynasty,genre,poem_type,sentences_simplified,meter_pattern,hash,words
5ba1181d-bfa0-4ecb-ace7-98b08a8ae925,偈四首  其一,释法恭,唐,诗,五言古体,春风杨柳眉 春禽弄百舌 一片祖师心 两处俱漏泄 不动步还家 习漏顿消灭 暗投玉线芒 晓贯金针穴 深固实幽远 无人孰辨别 惭愧可怜生 头头皆合辙 不念阿弥陀 南无干屎橛 无智痴人前 第一不得说,"5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",7cf3724cc5bbd9afcf069989f5b1fa31,春风 杨柳 眉 春禽弄百舌 一片 祖师 心 两处 俱 漏泄 不动步还家 习漏 顿 消灭 暗投 玉线 芒 晓贯 金针 穴 深 固实 幽远 无人 孰 辨别 惭愧 可怜 生 头头 皆 合辙 不 念 阿弥陀 南 无 干 屎 橛 无智 痴人 前 第一 不得 说
c5eae147-6eda-44ca-98ba-5052f6bd7c7a,偈四首  其二,释法恭,唐,诗,杂言,头祖才始升堂 百丈卷席归去 不是拾得寒山 有理也无雪处,"6,6,6,6",d8724bdb7eb1bdcf8b09bbef1d01ad53,头祖 才 始 升堂 百丈 卷席 归去 不是 拾 得 寒 山 有理 也 无 雪 处
e3475324-9a59-4f67-a9ad-8bb953f72d4d,偈四首  其三,释法恭,唐,诗,杂言,见得彻 用时亲 相逢尽是个中人 望空雨宝休夸富 无地容锥未是贫 踏著秤磓硬似铁 八两元来是半斤,"3,3,7,7,7,7,7",c958e85558c2dc41d0e92b56404b3479,见得 彻 用 时亲 相逢 尽是 个 中 人 望空 雨宝休 夸富 无地容锥未是贫 踏著 秤 磓 硬 似 铁 八两 元来 是 半斤
b7e891e9-9b0e-4e88-b1b0-2c00e06be4b4,偈四首  其四,释法恭,唐,诗,七言绝句,五天一只蓬蒿箭 搅动支那百万兵 不得云门行正令 几乎错认定盘星,"7,7,7,7",14e5e55307114b5974619cb8122a3787,五天 一只 蓬蒿 箭 搅动 支那 百万 兵 不得 云门行 正 令 几乎 错认 定盘星
b40bc149-efd2-4efc-b574-55c98496c905,颂古,释法恭,唐,诗,杂言,腊月烧山 对面热谩 瞥然悟去 身在长安 咄哉无限未归客 沙里求油实可怜,"4,4,4,4,7,7",564602c00bccc5a3c5063d19110d17cb,腊月 烧山 对面 热 谩 瞥然 悟 去 身 在 长安 咄哉 无限 未归 客 沙里 求油 实 可怜
262068eb-b308-4a02-bad1-7b63576a6815,偈六首  其一,释法智,唐,诗,杂言,真空不空 寥寥无影树头月 真色非色 隠隠不萌枝上花 威音路外芬芳 凤无依倚 空劫已前照耀 鹤不停机 更须一色功圆 便得同中有异 同中异 直下承当休拟议 夜来明月照芦花 鹤鹭并头踏雪睡,"4,7,4,7,6,4,6,4,6,6,3,7,7,7",7fc9c474eaf4239ad7ee07d48ddacfac,真空 不 空 寥寥 无影 树头 月 真色 非色 隠 隠 不 萌 枝 上 花 威音 路外 芬芳 凤无依 倚 空劫 已前 照耀 鹤 不 停机 更 须 一色 功圆 便 得 同中有异 同 中异 直 下 承当 休 拟议 夜来 明月照 芦花 鹤 鹭 并 头 踏雪 睡
43a78c60-ff04-4259-925e-30211ecf1259,偈六首  其二,释法智,唐,诗,杂言,辨不辨 昏不昏 打破盆子只论盆 千里远山烟树 数家沙鸟渔村 夜深月与湖光浑 天水茫茫绝点痕,"3,3,7,6,6,7,7",ffb0c4076a21d020894e16e37b49e335,辨不辨 昏不昏 打破 盆子 只论 盆 千里 远山 烟树 数家 沙鸟 渔村 夜深 月 与 湖光 浑 天水 茫茫 绝点 痕
a347db76-9ffa-42b3-b572-4f2be394d0ee,偈六首  其三,释法智,唐,诗,七言绝句,深夜虚堂露气佳 冰霜著月没痕瑕 木人打破琉璃碗 走过新罗始到家,"7,7,7,7",8a19cb29fde5b2c6282c63c0d39a4847,深夜 虚堂露气佳 冰霜 著 月 没 痕 瑕 木 人 打破 琉璃 碗 走过 新罗 始到 家
f5f2e0af-6bfe-43bb-9a3d-7d62c5ed5d1a,偈六首  其四,释法智,唐,诗,杂言,一不成 二不是 火云堆里秋风起 堪笑耘田车水翁 手脚忙乱同儿戏 同儿戏 有巴鼻 但得丰年贺太平 四海五湖皇化里,"3,3,7,7,7,3,3,7,7",c53e7d776d2838bc6e137d2a974f9c7b,一 不成 二 不是 火云 堆 里 秋风 起 堪笑 耘田 车水翁 手脚 忙乱 同 儿戏 同 儿戏 有 巴鼻 但 得 丰年 贺 太平 四海 五湖 皇化 里
9e2d833b-a64b-41aa-b3be-c4785cbebc5e,偈六首  其五,释法智,唐,诗,杂言,动时常寂寂 静处活鱍鱍 动静两俱忘 佛祖何处著 蓦地梦回头 长天飞一鹗 春风有时好 春风有时恶 不得春风花不开 花开又被风吹落 错错错 蒸餠元来是面作,"5,5,5,5,5,5,5,5,7,7,3,7",e6f537895ae879d442a4f83c792d4ff7,动 时常 寂寂 静处 活 鱍 鱍 动静 两 俱 忘 佛祖 何处 著 蓦地 梦 回头 长天 飞一鹗 春风 有时 好 春风 有时 恶 不得 春风 花 不开 花开 又 被 风吹 落 错错错 蒸 餠 元 来 是 面 作
a39a0c97-2ff6-4ff5-b778-010470d76b61,偈六首  其六,释法智,唐,诗,五言绝句,幽鸟语如篁 柳垂金线长 云收山谷静 风送杏花香,"5,5,5,5",079a1bb411632e01d77eafc8585bf1c0,幽 鸟语 如 篁 柳垂金 线 长 云 收 山谷 静 风 送 杏花 香
39e5e3a0-e2ea-4c48-9ee7-ced65ff7b0b5,赞天童觉和尚,释法智,唐,诗,杂言,乌顶雪眉 云踪鹤态 貌出正偏 见非向背 芙蓉月照兮太白峰高 丹凤翔空兮琼林玉碎 觌面分明 两彩一赛,"4,4,4,4,9,9,4,4",af13d3f8132eda7fbb52a5ef7ddf6a6a,乌顶雪眉 云踪鹤 态 貌出 正偏 见 非 向背 芙蓉 月 照 兮 太白 峰高 丹 凤翔 空 兮 琼林 玉碎 觌 面 分明 两 彩一 赛
