id,title,author,dynasty,genre,poem_type,sentences_simplified,meter_pattern,hash,words
dfec9b0d-71ec-4647-9643-1a507f28db37,讀程秀才詩,陸游,唐,诗,五言律诗,程子晚相得 居然一坐倾 新诗欲飞动 病眼为开明 英妙非凢质 衰迟畏后生 吾徒可相贺 五字有长城,"5,5,5,5,5,5,5,5",2e0aacd1d9cd1ad745b1786249daef68,程子 晚 相得 居然 一 坐倾 新诗 欲 飞动 病眼 为 开明 英妙非 凢 质 衰迟 畏 后生 吾 徒 可 相贺 五 字 有 长城
6708d8ba-09e4-4fda-af7b-17822897897e,晨起,陸游,唐,诗,七言律诗,一官又寄汝江头 落魄文园故倦游 榻上铎声悲破梦 簷边桐叶冷生秋 暮年作吏宁长策 薄禄縻人尚小留 晨起凭栏叹衰甚 接䍠纱薄发飕飕,"7,7,7,7,7,7,7,7",b6f59c853b0ad21726b29c77549eb128,一 官 又 寄 汝 江头 落魄 文园 故 倦游 榻 上 铎 声 悲破梦 簷 边桐叶 冷生秋 暮年 作吏 宁 长策 薄禄 縻 人 尚小 留 晨 起 凭栏 叹 衰 甚 接 䍠 纱 薄 发 飕飕
47a8052b-4630-4126-9447-27c16d32b413,雨夜,陸游,唐,诗,七言绝句,两鬓新霜换旧青 客游身世等浮萍 少年乐事消除尽 雨夜焚香诵道经,"7,7,7,7",80435f58c389990ea089609635572d1e,两鬓 新霜 换 旧 青 客游 身世 等 浮萍 少年 乐事 消除 尽 雨夜 焚香 诵 道经
671bdbb4-ad5e-457a-bf5f-09c9187fdf40,得京書或怪久不通問,陸游,唐,诗,七言律诗,惯向江湖铩羽翰 云霄那敢接鹓鸾 百年未必如炊久 万事真须作梦看 白首据鞍惭侠气 青灯顾影叹儒酸 手遮西日成何味 还我平生旧钓竿,"7,7,7,7,7,7,7,7",3cba52fdbd451e33206477e247d0acf3,惯向 江湖 铩羽 翰 云霄 那 敢接 鹓 鸾 百年 未必 如 炊 久 万事 真须 作梦 看 白首 据 鞍 惭 侠气 青灯 顾影 叹 儒酸 手 遮 西日 成 何味 还 我 平生 旧 钓竿
cfa604f8-e81e-41d9-aa85-9e68d9fd9304,水亭,陸游,唐,诗,五言律诗,日淡暑犹薄 雨余风更清 翛然水亭立 试此葛衣轻 晒粉怜孤蝶 穿枝喜晚莺 谁知簿书里 也复得吾生,"5,5,5,5,5,5,5,5",2f8cf960970a65db378d3e87c9c424a8,日 淡暑 犹薄 雨 余风 更 清 翛 然 水 亭 立 试 此 葛 衣 轻 晒 粉怜 孤蝶 穿 枝 喜 晚 莺 谁知 簿书 里 也 复得 吾 生
e205f82f-7b2d-49ee-9178-679c4574b71c,醉眠,陸游,唐,诗,五言古体,达士如鸱夷 无客亦自醉 痴人如扑满 多藏作身祟 放翁亦何长 偶自远声利 胸中白如练 不著一毫伪 醉来酣午枕 晴日雷起鼻 寄谢敲门人 予方有公事,"5,5,5,5,5,5,5,5,5,5,5,5",ac7f4003da78dd4dc9a2448d28b2a237,达士如 鸱 夷 无客 亦 自醉 痴人 如 扑满 多 藏作身祟 放翁 亦 何长 偶自 远声 利 胸中 白如练 不著 一毫 伪 醉 来 酣 午 枕 晴日 雷起鼻 寄谢 敲门 人 予 方 有 公事
cbf9b13c-e6e7-4f8b-ac98-e392f5fc18e6,感舊絕句七首  其一,陸游,唐,诗,七言绝句,鸭翎堠前山簇马 鸡踪桥下水连天 金丹炼成不肯服 且戏人间五百年,"7,7,7,7",73660ceaf97c436900dc36b7c555f94c,鸭 翎 堠 前山 簇马 鸡踪 桥下 水 连天 金丹 炼成 不肯 服 且 戏 人间 五百年
b44d0a9a-1162-472d-b2b8-a5b19d79bd5e,感舊絕句七首  其二,陸游,唐,诗,七言绝句,鹅黄酒边绿荔枝 摩诃池上纳凉时 冰纨不画骖鸾女 却写江南白纻辞,"7,7,7,7",2eebbe3064daf0fae8859f64079bf547,鹅黄 酒 边 绿 荔枝 摩诃 池上 纳凉 时 冰 纨不画 骖 鸾 女 却 写 江南 白 纻 辞
bdb58eef-6f50-421e-973c-c4c4de39f823,感舊絕句七首  其三,陸游,唐,诗,七言绝句,南市夜夜上元灯 西郊日日是清明 青氊犊车碾花去 黄金马鞭穿柳行,"7,7,7,7",8fa3f276186d9c82a3435a0871986595,南市 夜夜 上 元 灯 西郊 日日 是 清明 青 氊 犊车 碾花 去 黄金 马鞭 穿 柳 行
79b6c20b-bfcb-4baf-a5b3-b5cdd13d6dc9,感舊絕句七首  其四,陸游,唐,诗,七言绝句,十月新霜兔正肥 佳人骏马去如飞 纤腰袅袅戎衣窄 学射山前看打围,"7,7,7,7",b2db7b7aa3c88d5d518b9b9ee3dbf4c8,十月 新霜 兔 正 肥 佳人 骏马 去 如 飞 纤腰 袅袅 戎衣 窄 学射 山前 看 打围
