id,title,author,dynasty,genre,poem_type,sentences_simplified,meter_pattern,hash,words
37479cc5-e332-4d4c-be36-60d3086d9ac8,次韵王尧明三绝句  其三,李纲,唐,诗,七言绝句,郑衞曲终才雅奏 词人赋咏本多夸 未能句语全无颣 犹贵琼瑜不掩瑕,"7,7,7,7",c2d1e8a81cb9b7b06785712bf0d8b246,郑 衞 曲终 才 雅 奏 词人 赋咏 本多 夸 未能 句 语 全 无 颣 犹贵 琼 瑜不掩瑕
159ca6ca-529a-496c-bd12-47473b1f0eb1,次韵茂载海陵寓居有感三首  其一,李纲,唐,诗,五言律诗,群盗休凭险 天弧正指狼 犬羊徒跋扈 貔虎极精强 寓目江山异 伤心花草香 淛河那得此 回首一彷徨,"5,5,5,5,5,5,5,5",e783ffb6e0b17f90c1ee4ba17872a999,群盗 休 凭险 天弧 正 指 狼 犬 羊徒 跋扈 貔虎 极 精强 寓目 江山 异 伤心 花草 香 淛 河 那 得 此 回首 一 彷徨
1e0d05c5-b98b-4ea3-a95a-751c4cb8c502,次韵茂载海陵寓居有感三首  其二,李纲,唐,诗,五言律诗,江城飘泊久 幽径绿寒莎 叹息青春暮 悲伤白髪多 苍生端若此 狂寇竟如何 更起乘桴兴 沧洲万里波,"5,5,5,5,5,5,5,5",f551d0b1224cbc8c581ec4553e5ae85e,江城 飘泊 久 幽径 绿 寒莎 叹息 青春 暮 悲伤 白 髪 多 苍生 端 若此 狂寇 竟 如何 更 起 乘 桴 兴 沧洲 万里 波
b6636af1-a376-4c56-8586-96694dd36aed,次韵茂载海陵寓居有感三首  其三,李纲,唐,诗,五言律诗,不谓繁华地 还飞战鬭尘 浇愁空泥酒 极目更伤春 怀古繙书帙 论情托友人 谁深医国术 吾欲问甘辛,"5,5,5,5,5,5,5,5",5ab70e5f2a2f2e8d53859ea62f75d7a7,不 谓 繁华 地 还 飞 战 鬭 尘 浇愁 空泥 酒 极目 更 伤 春 怀古 繙 书 帙 论情 托 友人 谁 深 医 国术 吾 欲 问 甘辛
d5b7f9b4-3cd7-4119-9c27-035a3673d3b2,次韵王尧明喜雨古风,李纲,唐,诗,七言古体,神化茫茫端莫测 不雨逾时忽盈尺 谁云幽默志难通 一念周圆诚已格 井枯河竭欲飞尘 麦秀渐渐实半娠 翠虬潜伏杳无处 遗蝗出地方鳞鳞 观音妙智悲慈主 为洒杨枝作甘雨 应怜祷禬罄勤渠 致遣神人梦中语 雨旸之数虽有时 迟速亦可精神移 世间万法尽心造 报若影响宁难期 不知今夕复何夕 千里风云来阵墨 驱雷掣电雨建瓴 似赴前期初不忒 威神自在谁复如 噀酒投髗术已疏 有秋颇足慰民望 可喜更须烦史书 衣冠北渡连墙堵 旅食经时念终窭 已欣霖雨起蟠龙 更庆天兵擒猛虎 迩来世事不挂心 惟有忧国思犹深 安得年丰群盗息 归助击壤尧民音,"7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7",f4988751249d3c213cf29df7a2ccf7e3,神化 茫茫 端 莫测 不雨 逾时 忽 盈尺 谁 云 幽默 志 难通 一 念 周圆诚 已格 井枯河 竭欲 飞尘 麦秀 渐渐 实半娠 翠 虬 潜伏 杳无 处 遗蝗 出 地方 鳞鳞 观音 妙智 悲慈 主 为 洒 杨枝 作 甘雨 应怜 祷 禬 罄 勤 渠 致遣 神人 梦 中语 雨 旸 之 数 虽 有时 迟速 亦可 精神 移 世间 万 法 尽心 造 报 若 影响 宁 难期 不知 今夕 复何夕 千里 风云 来 阵墨 驱雷掣电 雨 建 瓴 似 赴 前期 初 不 忒 威神 自 在 谁 复如 噀 酒 投 髗 术 已 疏 有 秋 颇 足慰 民望 可喜 更须 烦 史书 衣冠 北渡 连 墙 堵 旅食 经 时念 终 窭 已 欣 霖雨 起 蟠龙 更 庆 天兵 擒 猛虎 迩来 世事 不 挂心 惟有 忧国 思犹深 安得 年 丰群 盗息 归助 击壤 尧民音
3ffba287-4a1f-44d8-bb74-227c175fbbea,送虞季然赴八宝丞,李纲,唐,诗,七言律诗,流落归来旅海涯 相从几集鳯凰池 暂欣捉麈共谈笑 还惜整骖言别离 为禄未能忘歛板 扫厅应不废哦诗 如公岂是徒劳者 勉继前修结主知,"7,7,7,7,7,7,7,7",fd71264308c7a67969a9e33767aa852e,流落 归来 旅 海涯 相从 几集 鳯 凰 池 暂 欣捉 麈 共 谈笑 还惜 整 骖 言 别离 为 禄 未能 忘 歛 板 扫厅 应 不 废 哦 诗 如 公 岂 是 徒劳 者 勉 继 前 修结 主知
9e3b6afc-5bdd-4a3a-8313-fc77444e3e4f,次韵和曾徽言登北禅寺塔,李纲,唐,诗,五言古体,佛教入中土 贝多凡几翻 摩腾导其流 僧伽鼓其澜 乃建窣堵波 髙标屹参天 划如五彩虹 上与青霄干 兹塔更奇古 层簷俯通川 江山递隐见 万象森回环 公子抱远韵 登临眇风烟 仰穿龙蛇穴 旁瞰日月悬 茫茫悉细碎 寓目疑无全 归来吐妙句 字字劳精甄 嗟我方屏处 胜游阻清缘 幸窥慈恩作 如见众宝山 宗风久寂寞 纻絮何其寒 安得师子吼 震此龙象筵 关弓挟白羽 櫜鞬相周旋 当分宝塔坐 一瞬三万年,"5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",d544955e3959d1426cd7af0c9d3e5fc2,佛教 入 中土 贝多 凡 几 翻 摩 腾导 其 流 僧伽 鼓其澜 乃 建 窣 堵 波 髙 标 屹 参天 划如 五 彩虹 上 与 青霄 干 兹塔 更 奇 古 层簷 俯通 川 江山 递 隐见 万象 森 回环 公子 抱 远 韵 登临 眇 风烟 仰穿 龙蛇 穴 旁瞰 日月 悬 茫茫 悉 细碎 寓目 疑无 全 归来 吐 妙句 字字 劳精甄 嗟 我方 屏处 胜游 阻清 缘 幸窥 慈恩 作 如见 众 宝山 宗风久 寂寞 纻 絮 何其 寒 安得 师子 吼 震 此 龙象 筵 关弓 挟 白羽 櫜 鞬 相 周旋 当分 宝塔 坐 一瞬 三万年
301f0a61-3f3f-44d8-be00-f418b7236ab5,次韵徽言招饮绝句,李纲,唐,诗,七言绝句,压架酴醿翠蔓柔 经春芬馥未全收 主人邀客醉花下 共喜王师破蔡州,"7,7,7,7",57ffd74087117f985bb4907d38f97532,压架 酴 醿翠蔓 柔 经春 芬馥 未 全 收 主人 邀客 醉花 下 共 喜 王师 破 蔡州
d57e1e38-94c3-4d86-b50f-ebaec7ee316d,读陈子直短歌三复而悲之次其韵,李纲,唐,诗,杂言,君不见韩昌黎 文章二百年 又不见杜陵老 风月三千首 号寒啼饥四壁空 谩有篇章在人口 书生生事良易足 深林一枝河满腹 但令藜苋可充膓 便把离骚静中读 儒冠误身诚可怜 陈侯半世身犹邅 斗酒初乏青铜钱 忍饥哦诗空可传 富儿菽粟泥沙掷 不必登朝家万石 水陆毕陈方丈食 锦绣还将被墙壁 但资口腹为身谋 问以诗书初不识 天公赋予真相百 彼富吾仁如黑白 乡党宁无急义人 谁哀王孙与进食 尝思漂母饭淮阴 何用区区论报德,"6,5,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7",927150593687f090e618a29c8b9f08fc,君不见 韩昌黎 文章 二百年 又 不见 杜陵老 风月 三千 首 号寒啼饥 四壁 空 谩有 篇章 在 人口 书生 生事 良易 足 深林 一枝 河 满腹 但 令藜苋 可 充 膓 便 把 离骚 静 中 读 儒冠 误身 诚 可怜 陈侯 半世 身 犹 邅 斗酒 初乏 青铜 钱 忍饥 哦 诗空 可传 富儿 菽粟 泥沙 掷 不必 登 朝 家 万 石 水陆毕陈 方丈 食 锦绣 还 将 被 墙壁 但 资 口腹 为 身谋 问以 诗书 初 不识 天公 赋予 真相 百 彼 富吾仁 如 黑白 乡党 宁无急义人 谁 哀 王孙 与 进食 尝思 漂 母饭 淮阴 何用 区区 论 报德
f6f32c30-ccb2-4bea-864b-53d1f6291d56,次韵王尧明四旱诗 河运,李纲,唐,诗,五言古体,漕渠如坦途 泛此往来宅 疏川谁之功 乘木本诸益 常疑侔沧溟 巨钓可龙伯 那知旱暵甚 有此困涸阨 岂无车班班 莫胜仓箱积 譬犹一鹗飞 孰与鸷累百 汲江劳瓮盎 祷雨费珪璧 端为鱼鼈忧 无乃云雷斁 安得千里波 篙师发櫂歌 愿借壮士手 为乃挽天河,"5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",51cfa9b50f98f38e6d11a2ae38848452,漕渠 如 坦途 泛 此 往来 宅 疏川 谁 之 功 乘 木本 诸益 常疑侔 沧溟 巨钓 可 龙伯 那 知 旱 暵 甚 有此 困涸 阨 岂 无 车 班班 莫胜仓 箱积 譬犹一 鹗 飞 孰与 鸷累百 汲江 劳瓮盎 祷 雨 费珪璧 端 为 鱼 鼈 忧 无乃云 雷 斁 安 得 千里 波 篙 师 发 櫂 歌 愿 借 壮士 手 为 乃 挽 天河
84759fb3-3ddf-4738-b754-ad9b9e8cb7d4,次韵王尧明四旱诗 井汲,李纲,唐,诗,五言古体,我居梁谿傍 密迩陆子泉 漂流旅海陵 又欲买一廛 愿言酌甘芳 为涤腥与膻 居然值岁旱 此志无由全 百井尽枯涸 简编匪虚传 夜汲费烛炬 晓趋骈足肩 一壶信千金 一饮或万钱 逝将向井拜 飞泉为溅溅 泓澄古镜色 吸引星光圆 洋洋疗众渇 不竭如巨川 井收遂勿幕 瓶盆送回旋 饮水自可乐 安用井底眠,"5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",3be356a0401bf091466ff4b4c600c829,我 居 梁 谿 傍 密 迩 陆子泉 漂流 旅 海陵 又 欲 买 一 廛 愿 言 酌 甘芳 为 涤 腥 与 膻 居然 值 岁 旱 此 志 无 由 全 百井 尽 枯涸 简编 匪虚传 夜 汲费 烛炬 晓趋 骈足肩 一 壶 信 千金 一 饮 或 万 钱 逝 将 向 井拜 飞泉 为 溅 溅 泓 澄 古镜 色 吸引 星光 圆 洋洋 疗 众 渇 不竭 如 巨川 井收遂 勿 幕 瓶盆 送 回旋 饮水 自 可乐 安用 井底 眠
d1c9faa9-dfd5-440d-9501-78274649d434,次韵王尧明四旱诗 酺祭,李纲,唐,诗,五言古体,闵旱意不乐 驾言游近坰 田父纷在野 祭酺方乞灵 借问何以然 东臯产蝗螟 主张有神物 薄礼羞微馨 神歆庶灾熄 敢爱酒满瓴 导我试往观 戢戢初插翎 剪穗齐若刀 抱秆牢如钉 异哉天壤间 孕此妖孽形 群族既蕃衍 气类屯臊腥 仲尼所不堪 纪异垂麟经 畀火见周雅 捕瘗闻唐庭 人力自足胜 何须诘冥冥 聪明实依人 正直神所听 区区觞豆间 厥德安足铭 谁能起云师 霈雨驱疾霆 一洗羽孽息 寥落如晨星,"5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",e50b9dd39e653799684b7cb456ed4a56,闵 旱意 不乐 驾言 游 近 坰 田父 纷 在野 祭 酺 方 乞灵 借问 何以 然 东 臯 产 蝗螟 主张 有 神物 薄礼 羞 微馨 神歆 庶灾 熄 敢 爱酒满瓴 导 我 试往 观 戢 戢 初 插 翎 剪 穗 齐若刀 抱 秆 牢 如 钉 异哉 天壤 间 孕 此 妖孽 形 群族 既 蕃衍 气类 屯 臊 腥 仲尼 所 不堪 纪异 垂 麟经 畀 火 见 周雅 捕 瘗 闻 唐庭 人力 自足 胜 何须 诘 冥冥 聪明 实 依人 正直 神所 听 区区 觞 豆间 厥 德安 足 铭 谁 能 起 云师 霈 雨 驱 疾霆 一 洗 羽 孽息 寥落 如 晨星
9f8ba078-f59f-456e-a7e0-9e67611fdc10,次韵王尧明四旱诗 雩祷,李纲,唐,诗,五言古体,雩祭法已古 东方见苍龙 厥后兹礼废 但祷释梵宫 淮堧值岁旱 川涸山欲童,"5,5,5,5,5,5",c7ea7841fee585c43934dc05ee6c09c9,雩 祭法 已古 东方 见 苍龙 厥 后兹礼 废 但 祷释 梵宫 淮 堧 值 岁 旱 川 涸山欲童
29396495-fa5c-40e0-8796-fbf686449ad9,次韵和虞公明察院赋所藏李成山水,李纲,唐,诗,五言古体,画史古多有 李生独宝传 譬犹古人书 墨妙称诚悬 尤物世难蓄 变化登云天 流落人间者 遗迹犹绵绵 此本更奇绝 髙深自山渊 想当槃礴时 舐笔应如椽 楼观抱空曲 林芿霭层巅 屹然岩石姿 润比金玉坚 倐忽变寒暑 霏微起云烟 髙堂寓远目 如堕嵩华前 回观旧所藏 一一可弃捐 乃知盖代手 笔力能旋干 众工画山水 意匠劳雕镌 惟兹得简易 大巧初天全 鉴裁有精识 丹青孰争先 何须嫫姆丑 始辨西施妍 嗟我性迂拙 漂流方隐鄽 幸从长者游 坐使伊郁宣 啸咏图史间 髙台谢牵挛 新诗与妙画 更使穷钻研 愧乏色丝句 为续金声篇 端思画中趣 秪欲休林泉,"5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",984798b156faf4c9576af60f4a33fb1c,画史 古 多 有 李生独 宝传 譬犹 古人 书 墨妙称诚 悬 尤物 世难 蓄 变化 登 云天 流落 人间 者 遗迹 犹 绵绵 此 本 更 奇绝 髙 深 自 山 渊 想 当 槃 礴 时 舐 笔 应 如 椽 楼观 抱 空曲 林 芿 霭 层 巅 屹然 岩石 姿 润比 金玉 坚 倐 忽 变 寒暑 霏微 起 云烟 髙 堂 寓 远 目 如 堕 嵩 华 前 回观 旧 所 藏 一一 可弃 捐 乃 知盖 代手 笔力 能旋 干 众工画 山水 意匠 劳雕 镌 惟 兹 得 简易 大巧 初 天全 鉴裁 有 精识 丹青 孰 争先 何须 嫫 姆 丑 始 辨 西施 妍 嗟我性 迂拙 漂流 方 隐 鄽 幸从 长者 游 坐 使 伊郁宣 啸咏 图史 间 髙 台 谢 牵挛 新诗 与 妙画 更 使 穷 钻研 愧 乏色 丝句 为续 金声 篇 端 思画 中趣 秪 欲 休 林 泉
